region,city,category,business_name,instagram,website,whatsapp,email,address,notes
Lebanon,Beirut,E-commerce,Sarah's Bag,@sarahsbag,sarahsbag.com,+961 1 575 585,,"Tabaris, Beirut","Lebanese social enterprise since 2000. 189K IG. Flagship in Ashrafieh."
Lebanon,Beirut,E-commerce,Studio Nada Debs,@studionadadebs,nadadebs.com,+961 70 150 500,,"Gouraud Street, Gemmayzeh, Beirut","107K IG. Design studio with Beirut, Dubai and Osaka presence."
Lebanon,Beirut,E-commerce,Bokja,@bokjadesign,bokja.com,+961 1 975 576,,"Saifi Village, Mkhallissiye, Beirut","119K IG. Cofounded 2000 by Huda Baroudi and Maria Hibri. Textile and furniture."
Lebanon,Beirut,E-commerce,Orient 499,@orient499,orient499.com,+961 76 908 181,office@orient499.com,"Hammoud Bldg, Omar Daouk St, Mina El Hosn, Beirut","100K IG. Lifestyle, home decor, fashion. Beirut to the world."
Lebanon,Beirut,E-commerce,Maison Rabih Kayrouz,@maisonrabihkayrouz,maisonrabihkayrouz.com,+961 3 393 249,presse@maisonrabihkayrouz.com,"320 Gouraud Street, Gemmayzeh, Beirut","105K IG. Haute couture house since 1999. Paris, London, Beirut."
Lebanon,Beirut,E-commerce,Joanna Dahdah,@joannadahdah,joannadahdah.com,+961 1 216 801,,"Ghandour El Saade Street, Beirut","23K IG. Beirut flagship plus Dubai contact. Worldwide shipping."
Lebanon,Beirut,E-commerce,Pop Up Concepts,@popupconcepts,popupconcepts.com,+961 70 020 200,,"Pasteur Street, Beirut","Streetwear concept store since 2012. Yeezy and Heron Preston roster."
Lebanon,Beirut,E-commerce,SBrands Official,@sbrands.official,sbrandsofficial.com,+961 79 167 414,info@sbrandsofficial.com,"Hazmieh Village, Hazmieh, Lebanon","Imports Rare, Fenty, Huda, Charlotte Tilbury. WhatsApp ordering on site."
Lebanon,Beirut,E-commerce,Vanina,@vanina_world,vanina.me,+961 1 447 449,,"Gemmayzeh, Beirut","Since 2007. Handcrafted in Lebanon. International shipping. Bridal collection."
Lebanon,Beirut,E-commerce,Selim Mouzannar,@selimmouzannar,selimmouzannar.com,+961 1 331 299,info@selimmouzannar.com,"82 Shehade Street, Achrafieh, Beirut","French Lebanese jeweler. Stocked at Liberty London. Workshop in Ashrafieh."
Lebanon,Beirut,E-commerce,Mukhi Sisters,@mukhisisters,mukhisisters.com,+961 76 087 729,,"Municipality of Beirut Building, Downtown","Third generation jewelers. Three sisters founded. Paris Hilton client."
Lebanon,Beirut,E-commerce,Potion Kitchen,@potionkitchen,potionkitchen.com,+961 70 961 796,,"Beirut Souks, Downtown Beirut","18K IG. Award winning aromatherapy. Plant based, science rooted."
Lebanon,Beirut,E-commerce,Salma Loves Beauty,@salmalovesbeauty,salmalovesbeauty.com,+961 78 929 000,tellme@salmalovesbeauty.com,"Monnot Street, Beirut","22K IG. Founder Rosemary R. Est 2018. Cruelty free."
Lebanon,Beirut,E-commerce,Helwé Natural Skincare,@helwe.naturalskincare,helwe.com,+961 81 868 056,info@helwecosmetics.com,"Rue du Liban, Achrafieh, Beirut","Founder Dr. Josiane Riachi. Antelias boutique with spa. Clinical range."
Lebanon,Beirut,Restaurant,Qasti by Alan Geaam,@qasti.beirut,,+961 1 971 111,,"Le Gray Hotel, Downtown Beirut","New opening. Michelin starred chef Alan Geaam returning from Paris."
Lebanon,Beirut,Restaurant,Altero,@alterobeirut,,+961 76 700 699,,"Achrafieh, Beirut","Recently opened. Achrafieh upscale catchment."
Lebanon,Beirut,Restaurant,Beyt Salma,@beyt.salma,,+961 70 112 240,,"Minet El Hosn, Beirut","Levantine eatery, Minet El Hosn area."
Lebanon,Beirut,Restaurant,Bistro Lobo,@bistrot.lobo,,+961 1 383 338,,"Badaro, Beirut","New cozy bistro in Badaro."
Lebanon,Beirut,Restaurant,En Ville Bistro,@enville.bistro,,+961 3 581 113,,"Achrafieh, Beirut","Achrafieh bistro, new opening."
Lebanon,Beirut,Restaurant,Gio Le Bar,@giolebar,,+961 70 776 555,,"Biyada, Beirut","Bar concept in Biyada."
Lebanon,Beirut,Restaurant,House of Butlers,@houseofbutlers,,+961 3 958 505,,"Naccache, Beirut","Naccache area, new opening."
Lebanon,Beirut,Restaurant,La Masseria,@lamasseria.lb,,+961 81 398 308,,"Beirut","Italian concept restaurant in Beirut."
Lebanon,Beirut,Restaurant,Le Dada Bistro,@maisondada.lb,,+961 81 555 485,,"Gemmayzeh, Beirut","Gemmayzeh new bistro."
Lebanon,Beirut,Restaurant,Le Petit Lola,@leptitlola,,+961 70 040 044,,"Naccache, Beirut","Naccache neighborhood spot."
Lebanon,Beirut,Restaurant,L'altro Paname,@panamebeirut,,+961 4 410 420,,"Naccache, Beirut","French bistro concept."
Lebanon,Beirut,Restaurant,Ma Ninou,@maninou.beirut,,+961 70 303 075,,"Achrafieh, Beirut","Achrafieh restaurant."
Lebanon,Beirut,Restaurant,Mashwa,@mashwabeirut,,+961 81 760 326,,"Mar Mikhael, Beirut","Mar Mikhael trending area."
Lebanon,Beirut,Restaurant,Patronne Beirut,@patronnebeirut,,+961 70 119 595,,"Gemmayzeh, Beirut","Gemmayzeh restaurant."
Lebanon,Beirut,Restaurant,Paul,@paulbakerybeirut,,+961 1 570 170,,"Naccache, Beirut","French bakery chain. Multi location Lebanon."
Lebanon,Beirut,Restaurant,Plateau Bakery,@plateaubakery,,+961 71 333 787,,"Mar Mikhael, Beirut","New artisan bakery in Mar Mikhael."
Lebanon,Beirut,Restaurant,Sevés,@seves.lb,,+961 70 553 301,,"Dbayeh, Beirut","Dbayeh area restaurant."
Lebanon,Beirut,Restaurant,Souk Café,@soukeltayeb,,+961 70 827 179,,"Jisr El Wati, Beirut","Part of Souk El Tayeb. Saturdays and Sundays."
Lebanon,Beirut,Restaurant,Stashh,@stashh.lb,,+961 71 578 000,,"Minet El Hosn, Beirut","Scandinavian concept bakery."
Lebanon,Beirut,Restaurant,Suc'ara,@sucara.lb,,+961 3 330 100,,"Verdun, Beirut","Verdun area, new opening."
Lebanon,Beirut,Restaurant,Daraj,@daraj.lb,,+961 3 084 358,,"Mar Mikhael, Beirut","Mar Mikhael cafe with garden seating."
Lebanon,Beirut,Service,Vel Aesthetic Clinics,@vel.clinics,vel-aesthetic.com,+961 70 782 082,info@vel-aesthetic.com,"Kaslik plus Downtown Beirut","Two clinics. Surgical and non surgical aesthetic."
Lebanon,Beirut,Service,Crystal Care Clinic,@crystalcareclinic,crystalcareclinic.com,+961 4 444 652,,"Demco Crystal Tower 4F, Antelias","Premium anti aging and laser. Sister clinic Slimit on 17F."
Lebanon,Beirut,Service,Beirut Beauty Clinic,@beirutbeautyclinicofficial,beirutbeautyclinic.com,+961 76 894 895,,"Beirut","Plastic and cosmetic surgery. Dr. Roger ElKhoury."
Lebanon,Beirut,Service,Salon E Achrafieh,@saloneachrafieh,saloneachrafieh.com,+961 81 947 983,,"Achrafieh, next to ABC Mall","Premium men's barbershop. Active YouTube channel."
Lebanon,Beirut,Service,Khoury Dental Clinic,@khourydentalclinic,khourydentalclinic.com,+961 1 387 187,info@khourydentalclinic.com,"2nd Floor Abdallah El Khoury Bldg, Taleb Hobeich St, Badaro","Dr. Jeff Khoury, since 1977. Perio, implants, cosmetic dentistry."
Lebanon,Beirut,Real Estate,JSK Real Estate,@jskre,jskre.com,+961 70 200 076,info@jskre.com,Beirut,"33K IG. Sub brand strategy. Multi platform."
Lebanon,Beirut,Real Estate,NIIAR,@niiarlebanon,niiar.com,+961 1 992 993,,"Multiple Beirut offices","Regional commercial real estate since 2009."
Lebanon,Beirut,Real Estate,PBM Real Estate,@pbmlb,pbm-leb.com,+961 1 993 399,info@pbm-leb.com,"Zahia Kaddoura St, Khatchadourian Bldg, 3F, Downtown Beirut","Award winning agency since 2007."
Lebanon,Beirut,Real Estate,AtaBuild Lebanon,@atabuildlebanon,atabuild.com,+961 3 785 889,info@atabuild.com,"Saifi Village, Martyrs' Square, Beirut Central District","Luxury real estate. HNW Beirut and Mount Lebanon."
Lebanon,Beirut,Real Estate,Trust Lebanon,@trustlebanon,trustlebanonagency.com,+961 4 972 005,info@trustlebanonagency.com,"Ain Saadeh, Lebanon","76K IG. Largest real estate following in Lebanon."
Qatar,Doha,Restaurant,Twisted Olive,@twistedolive.qa,twistedolive.qa,+974 4425 2727,,"Burj Doha, Al Corniche, Bldg 15, Zone 60, St 910","All day bistro on Corniche. Free range eggs and premium meats."
